,phrase before,chandler's phrase
3105," hey, you can stay with us! we'll take care of ya!"," oh, yeah! absolutely! anything you need man! but you have to promise me the second you are feeling better so that we can make fun of your hair!"
3106," you got it.  thanks you guys, i really appreciate this. all right, i'm gonna get packing again. man, i've been moving around so much i'm beginning to feel like a nomad.", he thought you said gonad.
3107, (entering from the bathroom) hey roomies!, love what you've done with the place.
3108," not a problem. and listen, hey! since you're gonna be here for a while, why don't—i was thinking we uh, put your name on the answering machine.", oh yeah!
3109," (to chandler) you're fake laughing too, right?"," oh, the tears are real."
3110, nothing., you built a fort didn't ya?
3111, (smiles) kinda.,"(notices something) oh my god, the air purifier! ross's air purifier! all i heard through 4 years of college was (makes a humming noise.)"
3112," dude, you should've gone out once and a while.", i hate this thing!
3113, sorry.  ahhhhhhhhhh…, (entering) hello children!
3114, hey! wanna play some foosball? please?, okay. (starts to head for where the foosball table usually is.)
3115," no-no, no! we have to move the table into my room, yeah! 'cause of all the boxes. come on!  all right, i have one question. what is the deal with this? (imitates ross's 'quiet down' maneuver, but does move his hands up and down he just flaps his hands as if he's waving good-bye.)", bye-bye little puppet joey hand?
3116," no, the quiet down thing!", you mean this. (does the maneuver perfectly.)
3117," um-hmm! look, i-i-i don't know how much more of this i can take! did you know he taped over my baywatch tape with some show about bugs! my god! what if that had been porn?"," (gasps) all right look, y'know, this maybe tough but come on, this is ross! i survived college with him!"
3118," all right, i guess i can hold out a little longer. let's have a game.", no-no-no-no!
3119," (entering) uh fellas, (does the maneuver and gives them a double thumbs up, which chandler returns as he closes the door.)"," okay, so he's out of here."
3120," hey, guys, you know what larry would say? he would say, ""see you ladle."" (laughs.)"," well, i-i-i'm done with this. you want anything ross? sports? international? apartment listings?"
3121," well, i guess i can check out those apartment listings, even though there's never anything in here.",not even on page 7?
3122," (looks) oh yeah! you're—hey, you're right! here's an affordable place, (reading ad) two bedroom, close to work, ooh, it's available in five weeks!", what about that circled one?
3123, but it's available now! isn't it?," yes, it is."
3124," okay, let's go.", there we go!
3125," oh-oh-ooh, hey guys, i was wondering if you guys would uh, maybe chip in on some new air filters for the air purifier? i mean after all, we all are using it.", let's go quicker.
3126," oh my god! (looking around, which doesn't take him long.)"," yeah, well look at this kitchen, slash bathroom. well that's great! y'know so you can cook while in the tub."
3127," but hey, ross, this place is available now!"," yeah, you don't want to be stuck with us for the next five weeks."
3128, (to chandler) how about you?, it's a kitchen slash bathroom.
3129," all right, i see what you guys are saying. i'll uh, i'll go downstairs and fill out an application.", we are bad people.
3130," maybe, maybe we did a good thing, helping ross get back on his feet!"," yes that was a nice place!  not a lot of closet space, but he can just hang his stuff out the window in a bag!  what are we gonna do?"
3131, i don't know. maybe pizza?, about ross!
3132," oh! oh!  hello! (listens.) oh yeah! (to chandler) it's the apartment manager; ross put us down as references. (to the apartment manager.) ross is the greatest guy you'll ever meet! yeah, he's very reliable."," (grabbing the phone) of course he has this big huge dog! that uh, barks into the night. (listens.) well, who doesn't love dogs? (thinks.) ah, he's a tap dancer! (listens.) yes, some would say that is a lost art. (thinks.) he's a pimp! (listens.) there you go! yes, he's a pimp. he's a big, tap dancing pimp! (pause.) hello?  ohhhhh!"
3133, i think i need a drink.,"98. 99. 100. okay, go!"
3134," (getting up) dude, i'm telling ya! i'm fine! (he tries to take a step and falls flat on his face.)", here we go! here we go!
3135, you're kidding!," you're kidding, no!"
3136, definitely!," yes! ross, you have to stay!  all right, buddy!"
3137," so i'm a pimp huh? it's okay! look, i know that sometimes i can be a pain in the ass, but you just have to talk to me. tell me if something is bothering you. okay? and for my part i will do everything i can to keep my annoying habits just (does the 'quiet down' maneuver)."," well, i see you've had a very productive day. don't you think the cowboy hat is a little much?"
3138," (popping up behind joey wearing an indian headdress) come on, it's fun!", all right! (he joins them in the fort and comes up putting on a bonnet.) isn't this a woman's hat?
3139, that's very nice.," that's sweet, joey."
3140," yeah, the other day i was at the bus-stop and this lovely fall breeze came in out of nowhere and blew this chick's skirt right up. oh! which reminds me, i'm also thankful for thongs. (note: actually, i think every guy is thankful for thongs. that and spandex. j )  i mean, it's not so much an underpant as it is a feat of engineering. i mean, it's amazing how much they can do with so little material! and the way they play with your mind! is it there? is it not there?", are you aware that you're still talking?
3141, i'm sorry. it's just that this is the worse thanksgiving ever., no-no-no! i am the king of bad thanksgivings. you can't just swoop in here with your bad marriage and take that away from me.
3142," oh, come on! i wanna hear it! it wouldn't be thanksgiving without chandler bumming us out!"," it's a tradition, like the parade. if the parade decided it was gay, moved out, and abandoned its entire family."
3143, i don't know about that. i've got one that's worse.," really? worse than, ""more turkey mr. chandler?"""
3144," hey, it's not like it sounds.", it's exactly like it sounds.
3145,"okay, count to three. 1. 2. 3!"," arghhhhhh!! (joey turns around to taunt him, but chandler is in the doorway and joey is facing the kitchen.)"
3146," (pointing) it worked! i scared ya, i knew it! ha-ha!", i'm over here big guy.
3147," (turning all the way around, and still not facing chandler) yeah, you are! (starts dancing.) i scared you!", (laughing) you did look like an idiot.
3148," umm, i-i really don't want to tell this story."," oh, come on monica, reliving past pain and getting depressed is what thanksgiving is all about. y'know, for me anyway. and of course, the indians."
3149," hi, i'm ross's little sister.", (seeing her) okay.
3150," umm, chandler, if you want i can make you some macaroni and cheese for dinner."," well, as long as the pilgrims didn't eat it, i'm in."
3151, hey chandler! did you like the macaroni and cheese?," oh yeah, it was great. you should be a chef."
3152, so i’m thinking about asking rachel out tonight. y'know maybe play her that song we wrote last week.," emotional knapsack?  right on! oh! uh, but, don’t take to long okay? 'cause uh, we're gonna test out our fake id's tonight, right clifford alverez."
3153," listen, roland chang, if things go well, i’m gonna be out with her all night."," dude, don't do that too me!"
3154," all right, it's cool you can stay here. my parents won't mind."," no, it's not that, i just don't want to be stuck here all night with your fat sister."
3155," well judy, you did it! she's finally full!", i called you fat?! i don't even remember that!
3156," well, i do.", i am so sorry. i really am. i was an idiot back then. i rushed the stage at a wham concert for crying out loud!
3157, i can't believe you let george michael slap you.," i am really sorry. that is so terrible. i am so, so sorry."
3158," oh, no, i have the cutest christmas story!", we wanna hear monica's thanksgiving story!
3159," (to chandler) god, your hair sure is different!"," yeah, we were just talking about that. i can't believe how stupid we used to look. (they both quickly push their sleeves over their elbows.)"
3160," hi, chandler.  what-what's the matter? is there, is there something on my dress? (she turns around making sure he gets a good look.)"," you just, you look so different! terrific! that dress! that body!"
3161," yeah? okay! good, good, because he's coming. he's coming. (to chandler) hey, what's up? (she leaves and closes the door behind her.)"," monica, i was wondering if you can make me some of that righteous mac and cheese like last year."
3162," umm, i'd love too! (she goes over and picks up the box and decides to follow rachel's advice and holds the box up to her cheek.) ooh, i love macaroni and cheese. i love-i love the way this box feels against my cheek.  boy, i love carrots! oh! (she picks up a bunch of them and holds them between her fingers.) sometimes i like to put them between my fingers like this and-and hold them down here while i talk to you. (she is rubbing her hip with the carrots.) umm, and-and-and y'know if i get really hot umm, i-i like to pick up this knife (she picks up a knife without putting the box down. she's holding the box between her cheek and shoulder) and-and umm, i-i put the cold steal against umm, (pause) my body. (she doesn't have any exposed skin within reach of the knife, so while holding the carrots in one hand and the box between her face and shoulder, she rubs the knife on her stomach.)", are you all right?
3163," it's too late, all we can do now is sow up the wound.", without my toe?! i need my toe!
3164," oh, i'm not falling for that one!", that's why i lost my toe?! because i called you fat?!
3165, i didn't mean to cut it off. it was an accident., that's why for an entire year people called me sir limps-a-lot?!
3166, i'm sorry! it wasn't your whole toe!," yeah, well, i miss the tip! it's the best part. it has the nail. (he storms out.)"
3167, you're a dork., i can't believe this.
3168," chandler, i said i was sorry."," yeah, well, sorry doesn’t bring back the little piggy that cried all the way home! i hate this stupid day! and everything about it! i'll see you later."
3169," oh wait, chandler, come here is there anything i can do? anything?"," yeah, just leave me alone for a while. (he goes into his apartment.)  oh-oh, i'm a duck! i go, ""quack, quack!"" i’m happy all the time!  nice try."
3170," wait, wait, wait! (she puts a shriner's hat on the turkey.)"," look, monica…"
3171," look! (she puts a big, yellow pair of sunglasses on the bird.)", this is not going to work.
3172, i bet this will work! (she starts dancing and chandler cracks up.)," you are so great! i love you!  nothing! i said, i said ""you're so great"" and then i just, i just stopped talking!"
3173, you said you loved me! i can't believe this!, no i didn't!
3174," yes, you did!  you love me!", no i don't! stop it! stop it! stop it! stop it!
3175, what am i sitting on?, top of the world? dock of the bay? (he tries to think of another but can't) i'm out.
3176," well, they're not mine!"," well, they're joey's! they gotta be joey's!"
3177," yeah, they're mine.", see? they're joey's! j-j-j-j-j-joey's!
3178," yeah, it was! all right, listen, i can't…", (interrupting him) all this lying has been hard on us too.
3179," oh-oh, yeah-yeah, i bet all the sex makes it easier!"," well, yeah actually."
3180," we'll try to be more careful okay? it's just that, we don't want everyone to know because this is going really well, and maybe the reason it's going really well is because it's a secret."," i know it sounds really weird, but we're just so bad at relationships."
3181, we are! help us!, help!
3182," hey, phoebe!"," hi, pheebs!"
3183," umm, wethering heights. i'm taking a literature class at the new school and i have to finish it for the first session tomorrow.", i didn't know you were taking a class. that is so cool.
3184, someone at work ate my sandwich!," well, what did the police say?"
3185, my thanksgiving leftover sandwich. i can't believe someone ate it!," ross, it's just a sandwich!"
3186," (quietly) that-that would be incredible. thank you so much. i-i still can't believe someone ate it!! i mean, look, i left a note and everything."," (reading) knock-knock. who's there? ross geller's lunch. ross geller's lunch, who? ross geller's lunch, please don't take me. okay?"
3187," really?! so what would you say pheebs? stuff like uh, ""keep your mitts off my grub?"""," say ross, when you picture phoebe living on the street, is she surrounded by the entire cast of annie?"
3188," joey, is what she just said umm—oh my god. (looks around the room.) you were actually gonna… (chandler picks this moment to return to the living room.) (rachel stares in shock.)", what is going on here?
3189," well, i'm telling everyone about you! that's the only way to explain the underwear and the video camera that doesn't make me look like a pig!"," no-no, wait! there's got to be a better explanation. you can tell them you had to make an adult film for your (thinks) adult film class."
3190," yeah, i like that. but no-no, how does that explain why rachel found my underwear at your place?", oh—i don't know.
3191," hey. okay, so umm, since that video camera thing didn't work out uh, i thought that i would give you just a little preview. (hands him a polaroid.)", (gasps) you're naked in this picture!  ross?
3192, i'm fine! i saw a psychiatrist at work today.  on account of my rage.," which i may say, right now, is out of control."
3193," wait a minute, they're making you take time off work?", and you're okay with that?
3194, joey has got a secret peephole!, (sees the picture) oh no! no! no! no! (monica gasps as well.)
3195, no! i am not a pervert! okay? it's just… i just… kinda…," all right, look! look. i think i can explain this."
3196, thank you!," if you get this one, we buy everybody here a steak dinner!"
3197, (thinking) i slept with monica., well let's….let's see what everybody thinks of that?
3198, my god monica!!, are you sure joe? are you sure you're not just a sex addict?
3199," ohh, no, no. we’re not going to just sit. (joey sits down and hits the speed dial button on the phone.) shhh. (it begins to ring.)"," (answering the phone at work) hello, chandler bing."
3200, (in a high pitched female voice) hello mr. bing...i love you.," (angrily) alright, whoever this is, stop calling me! (ross and joey laugh silently.) it’s been six months! it’s not funny!"
3201," but, i love you."," leave me alone! for the love of god, leave me alone!!! (joey hangs up.)"
3202," hey you guys, guess what?", the british are coming?
3203," ohh, you and your ways. (she shakes the bell at him and sits down.) since it’s christmastime. i’m going to be one of those people collection donations.  (excitedly) yeah, i already have my bell and later on...i get my bucket.", ohh.
3204," hey, how do you spell suspicious?  because i think this character is going to be suspicious about stuff.","yes! chandler bing, 7! chandler bing, 0."
3205, you're driving me crazy with that!," okay, i'll stop."
3206," don’t stop! move the bowl further away! ross could make that shot!  well, you suck! but at least you suck at a man's game now.", you wanna play?
3207," chandler, i can't be playing games, ross is gonna be home soon. and i have to write five whole pages if i'm gonna stick to his schedule.","well, so, play for the next 30 minutes and then write until he gets home."
3208," (jumping up) all right! but uh, listen, what do you say we crank it up a notch?", i'm intrigued.
3209," all right, all we need is a little lighter fluid."," okay, but be careful okay, because i wanna get our security deposit back."
3210," yeah, i think we said good-bye to that when we invented hammer darts.", do you even remember which part of the wall is not spackle?
3211," yeah, that's the uh, game we were playing."," (entering from his room carrying a fire extinguisher and wearing oven mitts) oh yeah, it's great! see you take a tennis ball, a bowl, and some lighter fluid—op! op! (he puts out a small fire which has re-ignited in his room.)"
3212," okay, y'know what uh, actually, that's great. that helps a lot. thanks. (she leaves them to wrestle.)","(entering from his bedroom) guys, come on! let's go! the puck drops in 20 minutes! come on, joe!"
3213, (to chandler) i didn't finish my five pages.," well, why can't you do them tomorrow?"
3214, yesterday's pages did not reflect my best work.," (to ross) why don't you cut him a little slack? okay? maybe if he relaxes a little bit, he'll get some work done."
3215," dude, if you think fireball's relaxing, you've obviously have never played."," the only reason you're doing this to joey is because you're bored. okay, it's not his fault that you're unemployed."
3216," and the reason i'm doing this is because i am joey's friend. and if you were a good friend, you'd be doing the same thing."," oh, so being a good friend means acting like a total jerk?"
3217," how about we settle this right now! (he rips up the tickets.) there! now, no one's going to the game. ha-ha-ha!", i paid for those tickets!
3218," no you didn't. you said you would, but you never did!", oh yeah! (makes an unintelligible taunting sound.)
3219," oh, y'know the same thing happened to me one time.", when did that happen to you?!
3220, don't you remember when we were jogging in the park and we saw that really pretty bird and wanted to take a picture—i didn't have my camera!," oh yeah. first off all, chasing the churo guy isn't jogging."
3221," yeah, wow, sorry rach.", i don't believe they're brother and sister.
3222," yeah, okay, i'll see you later. (gets up and runs from the apartment.)"," oh hey! there's some kids playing in the street, you wanna go down there and give them a project, ruin their day?"
3223, (entering) hey guys! i was at the library all morning and i already finished my five pages for today!," great! now, we can go to the ranger game! (pause) last night!"
3224," i guess when you don't have so many distractions, it's easier for you to focus. huh?", yeah or also when you don't have somebody breathing down your neck all the live long day!!
3225," yeah, well, that's fine, but the important thing is that i finished it. and uh, i think it's really good, but y'know it'd really help me is if i could hear it. so would you guys read it for me?", all right. (takes a copy.)
3226," okay. (reading.) ""it's a typical new york city apartment. two guys are hanging out."" ross (points to him.)", what is up?
3227," about yesterday, i was really wrong. i am sorry."," no, it was me. i'm sorry. i over reacted."
3228," maybe it was both of us, but we had our best friend's interest… (pauses and looks at joey.) but we had our best friend's interest at heart.", could i be more sorry. (looks at joey.)
3229," i don't know, i'm one sorry polentologist. (stops reading.) all right joey, we get it. (to chandler) i'm sorry.", (to ross) i'm sorry too.
3230," (reading from the script.) i am sorry, chandler."," i am sorry, ross."
3231," a handsome man enters. (playing the part of the handsome man.) hey! how's it going guys? i don't know what you two were talking about, but i'd like to say thanks to both of you. you, (ross) you wouldn't let me give up on myself, and you (chandler) well you co-created fireball. the end.", this took you all day?!
3232,all right! here we go! 1999! the year of joey!," (deadpan, standing next to monica) we're very happy for you."
3233, what's the matter?!," we wanted to kiss at midnight, but nobody else is going to so y'know…"
3234,(watching the ball drop) 3! 2! 1! happy new year!!, (to monica) happy new year!
3235,"just the one divorce in '99! y'know what, i am gonna be happy this year. i am gonna make myself happy."," do you want us to leave the room, or?"
3236, ooh! that's a good one! mine is to pilot a commercial jet.," that's good one too, pheebs. now all you have to do is find a planeload of people who's resolution is to plummet to their deaths."
3237,"in fact, i'll bet you 50 bucks that you can't go the whole year without making fun of us. eh, y'know what, better yet? a week.","i'll take that bet my friend. and you know what, paying me the 50 bucks could be the ""new thing you do that day!"" (ross looks at him.) and it starts right now!"
3238, i just asked that girl out., nice!
3239, yes it is. see. (shows them the piece of paper she gave him with her name and phone number on it.), (reading it) elizabeth hornswoggle?
3240," that's right, uh, elizabeth hornswoggle.", horn-swoggle.
3241, you all right chandler? is there something funny about that name?," no. no, i just think that maybe i-i'd heard it somewhere before. (sits down rubbing his temple.)"
3242,"okay, lesson one: chords. now, i don't know the actual names of the chords but umm, i-i-i made up names for the way my hand looks while i'm doing them."," what an interesting approach to guitar instruction. y'know some might find it amusing, i myself find it regular."
3243, auntie monica!! (he runs to hug her.)," (notices something) ross is wearing leather pants! does nobody else see that ross is wearing leather pants? (pause, no one speaks.) someone comment on the pants!"
3244, i like them a lot.," that's not what i had in mind! see, people like ross don't generally wear these types of pants. you see, they're very tight. (motions to ross's buttock.) maybe there's something in that area."
3245," oh see, i-i needed a new thing for today and there's this leather store that always smells so good and i thought to myself, ""wow, (to chandler) i never really owned a good smelling pair of pants before.""", oh come on!! (storms out.)
3246, (on phone) i can't wait to be with you! i'll sneak over as soon as ross picks up ben. i'll just tell rachel i'm gonna be doing laundry for a couple of hours.," (on phone) laundry. huh. is that my new nickname? (rachel is absolutely stunned, she opens her mouth in absolute amazement.)"
3247," okay, now that everything's wrapped up here, i think i'm, i'm gonna go do my laundry."," oh yeah, me too. y'know if this shirt is dirty. (smells it.) yep."
3248, that's weird. (pause.) i bet they're doing it.,"(entering) oh good, okay, i can't take it anymore. i can't take it anymore. so you win, okay? here! (hands him the 50 bucks he's about to owe him.) pheebs? flying a jet? better make it a spaceship so that you can get back to your home planet! and ross, phone call for you today, tom jones, he wants his pants back! and hornswoggle? what are you dating a character from fraggile rock?! (he sits down and sighs in relief.)"
3249, what? oh!, sorry man.
3250," oh, thanks gunther. (he takes it, hands the plate it's on to rachel, sets it down on the table, and proceeds to pound it into oblivion while saying.) stupid british snack food!!!!!!!", did they teach you that in your anger management class?
3251," look at us all dressed up for the big office party! by the way, what are we celebrating?"," oh, we had a lot of liquor left over from the christmas party."
3252, i think this is so cool because none of our friends are here and we can be a real couple. we don't have to hide.," i know, i can do this. (he takes her hand.)"
3253," hey bing! (slaps him on his ass.) (sees monica) wo-ho-ho, who's the pretty lady and what the hell is she doing with you?"," i asked myself that very question, sir. uh, (points to monica) this is monica. (points to his boss.) this is my boss, doug. doug this is monica."
3254," say uh, bing, did you hear about the new law firm we got working for us?"," no, sir."
3255, what was that?  that noise you just made?," oh, that was my work laugh."
3256, really? your work laugh?," oh, believe me, to survive this party, you're gonna have to come up with one too."
3257,…says $30 father; same as in town.," hey! everybody at work loved you last night!  and! they like me more just because i was with ya! i think you repaired a lot of the damage from when they met joey. and doug wants us to play tennis with them. he's never even talked to me outside of work. except for that time when we bumped into each other at that strip club. (she glares at him.) strip church. anyway, i'm gonna go try and find a racquet."
3258," hey, i thought you already had one."," oh i used too, but then joey thought it would be fun to go to central park and hit rocks at…bigger rocks. (he starts to leave and stops an entering rachel.) hey rach, do you have a tennis racquet?"
3259," oh umm, y'know i lent it to joey and i never actually got it back."," okay, good luck with that. (exits.)"
3260," am i on fire today or what?! those birds are browned, basted, and ready to be carved!"," okay, easy martina. i think we should let them win the next game."
3261," i'm sorry, i don't understand what you just said.", let them win one.
3262," are you crazy?! we own those two! i mean look at 'um, he can't breath and she's popping pills.", you're not even giving them a chance!
3263," uh bing, i think we're gonna make this the last game."," oh yes, sir! put me out of my misery. are you sure you never played pro? (does his work laugh.) (to monica) please let them win!"
3264,i'll take it down to 95% but that's the best i can do.," oopsey, missed it!"
3265, i got it!!, long! (gives monica the work laugh.)
3266, i can't believe you let them win!," yeah, at least you hid your feelings well about it. (removes a smashed racquet from his bag.)"
3267, i was frustrated., it was my racquet.
3268, i was frustrated with you!, if we hadn't lost the game they never would've invented us to dinner tomorrow night.
3269," y'know what really bothers me? is—it's how-how different you act around them! i mean y'know the throwing the tennis games, the fake laugh, the ""i'll see you around, bing!"" ""not if i see you first, doug!"" (mocks the fake laugh.) i gotta tell you, i don't like work chandler. okay? the guy's a suck-up."," okay y'know what, because you said that, i'm not putting out tonight."
3270," oh, none for me. thanks.", just a little bit of sugar.
3271, (to chandler) how does that laugh not give you a headache?," oh, you get used to it."
3272," y'know, i-i-i don't think that i can. so if you don't mind, maybe this will be it for me on the work things."," so i laugh at my boss's jokes, what's the big deal?"
3273, i'd rather hang out with a sniveling work weasel guy when i can be hanging out with my boyfriend who i actually respect., oh. (does a double take when he realizes what she just said.)
3274," (entering) uh, i gotta apologize for kara's coffee. y'know, i feel sorry for it if it ever got in a fight, it's not strong enough to defend itself. (chandler does not laugh.) did you hear what i said bing?  the joke bing. what's the matter with you?"," well, i-i just didn't think it was funny sir."
3275," (interrupting) honey, i just don't think that you understood the joke.  yeah! i mean it was really funny, i-i just don't think you got it. you see kara's coffee is-is-is weak tasting, okay? but-but what doug was-was imply that it was weak physically. you get it now honey?"," i think i do! (they all laugh.) thank you, monica."
3276, i thought you could use the help., coffee in a fight! (does the laugh again.)
3277, what?! she just called and said that she was gonna be working late! she keeps lying to me! that's it! y'know what? i'm just gonna go over there and confront them right now!," (from his bedroom) all right, so you're telling me that i have to tell racist jokes now?!"
3278, sorry! i'm just—i'm not very good at this! i'm a terrible liar and i hate having to lie to rachel!, but we're not ready to tell yet!
3279, 'kay. (pause.) congratulations on your new job. (she goes and hugs monica and is almost in tears.)," man, she is really gullible."
3280," dude, we got to talk.  i just wanted to tell you something before you heard it from someone else and i hope this isn't too weird, but uh, i had uh, a thing with janice. (he laughs, his real laugh this time.) what you're-you're not mad?", why would i be mad?
3281," well, because y'know there are certain rules about this kind of stuff. you don't uh, you don't fool around with your uh, friend's ex-girlfriends or possible girlfriends or girls they're related to."," (realizes what ross just said and the implications to him) i am mad! but you know what i'm gonna do? i'm gonna forgive you! because that's what friends do! they forgive their friends when they do everything you just said, all on the list there. well, but i want you to remember that i forgave you.  i also want you to remember that i let you live here rent free!  and, i want you to remember that i gave you twenty (counts his money) seven dollars. no strings attached. now, if you can't remember that, i think we should write it down—let's write it down!"
3282, i can't believe we've never done this before! it's sooo good! so good for monica!," oh! look at that, time's up! my turn!"
3283, that was a half an hour?, it's your timer.
3284," y'know, i don't like to brag about it, but i give the best massages!"," all right, then massage me up right nice!  ah! ahh!! ahh!!"
3285," it's so good, isn't it?", it's so good i don't know what i've done to deserve it!
3286, say good-bye to sore muscles!," good-bye muscles!!  i'm telling you, she gives the worst massages ever!! okay, it was like she was torturing me for information. and i wanted to give it up i just—i didn't know what it was!"
3287," chandler, if it really hurts that bad you should just tell her."," look, for the first time in my life i'm in a real relationship. okay, i'm not gonna screw that up by y'know, telling the truth."
3288," whoa, dude, look out! you almost crushed my hat! (he picks a hat up from the floor. it's one of those magician stovepipe hats.)", (examining the hat) and the bunny got away. (turns and starts looking for the bunny as joey puts the hat on.)
3289," oh! yeah, look there's this play all right? and i'm up for the part of this real cool like suave international guy. a real clothes horse. so i figure that everyone at the audition is gonna be wearing this kinda y'know, ultra-hip, high fashion stuff.", and you're gonna make them all disappear.
3290," yeah, like you could find something as sophisticated as this.", done.
3291, thanks! enjoy your funeral., wow! you look just like your son mrs. tribbiani!
3292," here, i brought you some flowers. (he pulls them out of the bag.)", pulling flowers out it makes the bag look a lot more masculine.
3293," ahhh, i think you look great! that bag is gonna get you that part.", and a date with a man!
3294, no he's not!," (wincing) yes, he is!  i'm sorry but, ow-owww-owww!"
3295," okay! all right, i'll see ya. (as he's walking off stage.) (patting the bag.) we got it! we got it!"," hey, is rachel here?  (coming all the way in) listen, i just wanted to apologize about this afternoon and the whole massage thing. y'know? i-i really like 'em."
3296," oh, please, stop! look, we're supposed to be honest with each other. i-i just wish you could tell me—just say, ""i don't like your massages.""", (falling into that trap) i don't like your massages.
3297, (starting to cry) see? it's no big deal.," okay, but now see you're crying!"
3298, i'm not crying about that! i'm crying about something that happened at work.  (bursting into tears) my boyfriend said he didn't like my massages.," it's okay, you don't have to be the best at everything."
3299, oh my god! you don't know me at all!," okay, you give the worst massages in the world."
3300, i'm crying here!!," okay, hear me out. okay? you give the best bad massages. if anybody was looking for the best bad massage and they were thinking to themselves, ""who's the best of that?"" they'd have to go to you."
3301," huh. so you're saying like umm, if there was an award for the best bad massage, well who would get that?"," oh, it would be you! you! monica! and you'd get all the votes!"
3302," so maybe they could umm, call the award the monica?  okay. i suck!", yeah! (they hug.)
3303, (dejected) hi.," hey man, how did the audition go?"
3304," honey wait, joey, i’m sorry i mean as terrific as i think you are with it… (looks for help.)"," oh, hey! (ross nods in agreement as well.)"
3305," wait a minute! wait a minute! i'm not saying that you shouldn’t have a bag, i just—it's just there are other bags that are a little less umm, (pause) controversial."," yeah umm, they're called wallets."
3306," ohh, i'm gonna miss that big old squishy butt.", and we're done with the chicken fried rice.
3307," hey, yeah! then we could do that telephone thing! y'know, you have a can, we have a can and it's connected by a string!", or we can do the actual telephone thing.
3308," well, you could use your position y'know as the roommate.  and then. i would use y'know the strongest tool at my disposal. my sexuality.  okay, watch, learn, and don't eat my cookie.  hey! ooh, wow that jacket looks great on you!  (feels his arm) yeah the material feels so soft—hello mr. bicep! have you been working out?"," well, i try to y'know, squeeze things. (phoebe giggles uncontrollably.) are you okay?"
3309," well, if you really wanna know, i'm—oh! i can't tell you this."," phoebe, it's me. you can tell me anything."
3310, you are so cute! how did you get to be so cute?," well, my grandfather was swedish and my grandmother was actually a tiny little bunny."
3311," okay, now you're even cuter!!"," y'know that is a popular opinion today i must say.  the weirdest thing happened at the coffee house, i think, i think phoebe was hitting on me.  i'm telling you i think phoebe thinks i'm foxy."
3312," that's not possible!  i'm sorry it's just, phoebe just always thought you were, you were charming in a, in a sexless kind of way."," oh, y'know i-i can't hear that enough."
3313," i'm sorry, i think that you just misunderstood her."," no, i didn't misunderstand, okay? she was all over me! she touched my bicep for crying out loud!"
3314, this bicep?, well it's not flexed right now!
3315," uhh, y'know actually i was gonna do some laundry.  hey chandler, wanna do it with me?"," sure, i'll do it with ya."
3316," oh, is it that pinball machine with the big bow on it?", that new mountain bike?
3317, well yeah! someone sent us a basket at work once and people went crazy over those little muffins. it was the best day., your work makes me sad.
3318, bye chandler! (she walks up to him.) (quietly.) i miss you already. (she pinches his butt.)," (after they've left) okay, did you see that?! with the inappropriate and the pinching!!"
3319," actually, i did!"," okay, so now do you believe that she's attracted to me?"
3320," ohhh, oh my god! oh my god! she knows about us!  phoebe knows and she's just trying to freak us out! that's the only explanation for it!", (a little hurt) okay but what about y'know my pinchable butt and my bulging biceps—she knows!  (entering) joey!  phoebe knows about us!
3321," uhhh, phoebe and joey.  and rachel. i would've told you but they made me promise not to tell!", oh man!
3322," oh man, they think they are so slick messing with us! but see they don't know that we know that they know! so…"," ahh yes, the messers become the messies!"
3323, (in a sexy voice) oh? (takes the phone from rachel.) hello you.," hello phoebe, i've been thinking about you all day. (he's holding the phone so that monica can hear it as well.)"
3324, eh?," well you know that thing you said before, i'd be lying if i said i wasn't intrigued.  yeah, listen, joey isn't gonna be here tonight so why don't you come over and i'll let you uh, feel my bicep. or maybe more."
3325," (in the kitchen with chandler) look at them, they're-they're panicked!"," oh yeah, they're totally gonna back down!"
3326," (laughs) please.  so chandler, i-i'd love to come by tonight."," (initially worried, but gets over it) really?"
3327," all right, it'll be great! you just make her think you wanna have sex with her! it'll totally freak her out!"," okay, listen, how far am i gonna have to go with her?"
3328," relax, she-she's gonna give in way before you do!", how do you know?!
3329, because you're on my team! and my team always wins!, at this?!
3330," oh now, don't give away the farm!", phoebe.  come on in.
3331," i was going too. (they go inside and he closes the door.) umm, i brought some wine. would you like some?", sure.
3332," so, here we are. nervous?", me? no. you?
3333," no, i want this to happen.", so do i.  i'm gonna put on some music.
3334," maybe, maybe i'll dance for you. (she starts doing a rather suggestive and seductive dance that's silly at the same time.)", you look good.
3335," thanks! y'know, that when you say things like that it makes me wanna rip that sweater vest right off!"," well, why don't we move this into the bedroom?  oh, do you not want to?"
3336," no. no! it's just y'know first, i wanna take off all my clothes and have you rub lotion on me."," (swallowing hard) well that would be nice. i'll go get the lotion.  listen, this is totally getting out of hand! okay? she wants me to put lotion on her!"
3337, she's bluffing!," look, she's not backing down! she went like this! (he does a little mimic of her dance.)"
3338, you go back out there and you seduce her till she cracks!," okay, give me a second! (pause) did you clean up in here?"
3339, of course.," oh, you're-you're going?"
3340," umm, not without you, lover. (she slowly walks over to him and is showcasing her bra.) so, this is my bra."," (swallowing hard) it's very, very nice. well, come here. i'm very were gonna be having all the sex."
3341, you should be. i'm very bendy. (pause) i'm gonna kiss you now.," not if i kiss you first.  well, i guess there's nothing left for us to do but-but kiss."
